Note. A total of 2904 bursts have been collected by the end of March 2022, 
comprising the arrival time, fluences and references/telescopes for  each.
*: For detections where the fluences were not reported in the literature, 
we have used a fluence of 1 Jy ms.

FAST (Xu et al. 2022, Nature, 609, 685)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59307.33458	0.1778
2	59307.33458	2.5309
3	59307.33692	0.1997
4	59307.34947	8.7371
5	59307.35425	0.9421
6	59307.35511	0.1554
7	59307.3582	2.3698
8	59307.36027	4.8846
9	59307.36444	0.1678
10	59307.36935	1.0378
11	59307.37261	10.5216
12	59307.38302	10.9699
13	59307.38662	0.7355
14	59307.39755	3.379
15	59307.39895	0.5491
16	59307.40296	2.2901
17	59307.40539	0.4896
18	59307.40804	0.0653
19	59307.41047	4.2819
20	59307.41056	0.1814
21	59307.41204	0.0912
22	59308.3409	3.8573
23	59308.34143	0.0984
24	59308.35604	0.199
25	59308.36734	0.3619
26	59308.36734	7.0382
27	59308.37029	5.7179
28	59308.37351	4.1616
29	59308.37655	0.539
30	59308.37782	1.1531
31	59308.37988	0.8072
32	59308.3874	3.0405
33	59308.38772	11.4478
34	59308.3892	0.3274
35	59308.38925	0.8613
36	59308.39236	1.6043
37	59308.39344	30.7824
38	59308.39633	1.1318
39	59308.40631	0.147
40	59308.40853	19.1826
41	59308.40853	0.1261
42	59308.41079	0.1568
43	59309.34867	0.0386
44	59309.35145	0.157
45	59309.35634	4.6773
46	59309.35666	0.3008
47	59309.36651	0.2306
48	59309.37318	1.7085
49	59309.37788	10.7342
50	59309.3793	2.1099
51	59309.38265	22.0387
52	59309.38568	0.0594
53	59309.38964	1.1018
54	59309.39895	0.8688
55	59309.39895	0.1218
56	59309.40345	0.3195
57	59309.40345	0.5046
58	59309.40508	0.4838
59	59309.40579	19.6738
60	59309.40724	1.1538
61	59309.40779	3.8955
62	59309.40996	0.2074
63	59309.41098	0.2112
64	59309.41636	2.8821
65	59309.41758	1.9811
66	59309.42277	1.0675
67	59310.34008	0.8234
68	59310.34146	2.8262
69	59310.34146	3.2402
70	59310.34232	3.2429
71	59310.34696	4.8675
72	59310.35125	2.6731
73	59310.35276	0.931
74	59310.35399	3.3174
75	59310.35883	0.5797
76	59310.35889	7.1597
77	59310.35889	0.3085
78	59310.36377	2.3088
79	59310.36396	0.7723
80	59310.36945	5.7664
81	59310.37699	15.3838
82	59310.37889	0.0597
83	59310.38343	0.6405
84	59310.38466	2.2848
85	59310.39129	0.3838
86	59310.39222	1.3267
87	59310.39492	1.895
88	59310.39773	6.6853
89	59310.40008	1.4869
90	59310.40282	2.4099
91	59310.40282	0.2478
92	59310.40284	0.1146
93	59310.40401	1.3307
94	59310.40405	0.6312
95	59311.32819	3.4011
96	59311.33573	5.8965
97	59311.33697	0.941
98	59311.34211	3.1264
99	59311.34388	0.7166
100	59311.3482	1.1574
101	59311.35055	1.8925
102	59311.35189	0.7971
103	59311.35208	0.0918
104	59311.35208	0.0453
105	59311.35378	3.8618
106	59311.35538	0.3355
107	59311.35793	2.9045
108	59311.35888	1.2022
109	59311.36144	0.5424
110	59311.36253	2.0779
111	59311.36349	0.2034
112	59311.36349	3.4198
113	59311.36367	0.1914
114	59311.36647	9.121
115	59311.36918	1.7096
116	59311.36963	12.3298
117	59311.37343	0.2922
118	59311.37867	2.9258
119	59311.37926	10.7378
120	59311.37996	1.2162
121	59311.37996	0.1976
122	59311.38109	0.1005
123	59311.38153	6.397
124	59311.38292	1.5946
125	59311.39163	3.1968
126	59311.39631	10.3787
127	59311.39661	0.3667
128	59311.39836	6.881
129	59311.40023	3.6288
130	59311.40166	1.8582
131	59311.40264	6.0184
132	59311.40583	2.7272
133	59311.40667	2.2605
134	59312.26905	0.5837
135	59312.2763	1.9549
136	59312.28744	0.1746
137	59312.28784	0.0451
138	59312.28839	0.7179
139	59312.29092	7.6888
140	59312.29761	5.4344
141	59312.30353	3.1432
142	59312.3111	0.4186
143	59312.3127	0.1546
144	59312.31579	0.4355
145	59312.31614	1.1307
146	59312.3164	0.216
147	59312.31682	0.7283
148	59312.31722	4.7083
149	59312.31724	0.2421
150	59312.32102	2.0718
151	59312.32112	0.3269
152	59312.32116	2.568
153	59312.32117	0.6582
154	59312.32469	2.3088
155	59312.32492	0.28
156	59312.32601	3.1256
157	59312.32733	0.0613
158	59312.33097	0.2074
159	59312.33374	3.2597
160	59312.33388	0.0541
161	59312.33484	0.0902
162	59312.33484	0.1382
163	59312.33815	0.0618
164	59312.34015	0.9427
165	59312.34439	0.6067
166	59312.34764	0.403
167	59313.3261	0.6072
168	59313.3274	0.0986
169	59313.3274	0.1398
170	59313.3274	0.1701
171	59313.32861	0.0866
172	59313.32966	6.5472
173	59313.33012	0.4702
174	59313.33052	0.2146
175	59313.332	0.3109
176	59313.33316	1.0246
177	59313.33316	0.3669
178	59313.33337	7.4232
179	59313.33384	0.2253
180	59313.33456	1.153
181	59313.33456	2.9037
182	59313.33499	0.5656
183	59313.33499	0.4384
184	59313.33499	0.3718
185	59313.33523	1.4102
186	59313.33789	0.2962
187	59313.33792	0.0698
188	59313.34238	6.2891
189	59313.34315	0.6528
190	59313.34315	0.4784
191	59313.34577	10.8517
192	59313.34642	1.3696
193	59313.34642	3.6533
194	59313.34678	2.5538
195	59313.34964	0.123
196	59313.35006	1.572
197	59313.35173	0.1765
198	59313.35173	0.1666
199	59313.35204	1.6784
200	59313.35429	1.0574
201	59313.35429	0.7466
202	59313.35514	0.8818
203	59313.35827	1.1371
204	59313.35845	0.2274
205	59313.35892	1.4301
206	59313.35957	2.2502
207	59313.36037	0.2995
208	59313.36158	0.0882
209	59313.36158	0.441
210	59313.36158	0.427
211	59313.36222	3.1331
212	59313.36231	0.3829
213	59313.36231	0.7923
214	59313.36239	6.5382
215	59313.36366	6.6285
216	59313.36475	3.1374
217	59313.36554	0.5243
218	59313.36654	0.3973
219	59313.36654	2.4344
220	59313.36889	1.0437
221	59313.37029	3.5376
222	59313.37169	9.5902
223	59313.37263	8.3293
224	59313.37449	10.6352
225	59313.37459	4.7574
226	59313.3748	0.1246
227	59313.3778	20.1794
228	59313.37803	0.6848
229	59313.37803	3.9288
230	59313.37981	1.0554
231	59313.3812	6.367
232	59313.38526	1.7072
233	59313.38889	0.2421
234	59313.38982	2.444
235	59313.39078	0.3264
236	59313.39134	8.3782
237	59313.39134	0.5958
238	59313.39526	0.32
239	59313.39824	0.0882
240	59313.39956	3.9782
241	59313.39983	0.0738
242	59313.40048	0.3384
243	59313.40225	9.7458
244	59313.4028	5.6766
245	59313.40486	0.9962
246	59313.40486	0.6938
247	59313.40508	4.9528
248	59313.40616	2.6298
249	59314.32243	3.8128
250	59314.32258	0.445
251	59314.32391	3.3384
252	59314.32772	0.1966
253	59314.32837	1.5565
254	59314.32837	0.5731
255	59314.32847	0.0565
256	59314.32847	0.1794
257	59314.33109	0.2554
258	59314.33109	0.6485
259	59314.33109	0.1986
260	59314.3355	0.5189
261	59314.33551	4.3638
262	59314.33605	0.7429
263	59314.33605	0.8616
264	59314.33706	0.6194
265	59314.33706	1.6634
266	59314.3374	13.5544
267	59314.33791	0.6286
268	59314.33872	0.3141
269	59314.34013	5.0221
270	59314.34028	0.2003
271	59314.34044	0.4054
272	59314.34195	0.103
273	59314.34301	0.2994
274	59314.34443	0.064
275	59314.34456	1.9621
276	59314.34456	3.5269
277	59314.34584	14.9202
278	59314.34789	0.0731
279	59314.34804	0.2344
280	59314.34875	3.3803
281	59314.34895	4.7747
282	59314.34986	0.1938
283	59314.35095	0.1934
284	59314.35095	0.1731
285	59314.35137	0.2222
286	59314.35287	6.7934
287	59314.35315	1.4568
288	59314.35338	0.2955
289	59314.35361	0.1158
290	59314.35761	0.2286
291	59314.35871	0.2691
292	59314.36023	0.4237
293	59314.3607	3.264
294	59314.36113	0.9938
295	59314.36123	6.5323
296	59314.36123	3.7702
297	59314.36135	12.0835
298	59314.36269	2.8834
299	59314.36365	2.3186
300	59314.36434	0.7027
301	59314.36489	0.1816
302	59314.36618	1.9742
303	59314.367	0.4558
304	59314.367	9.1827
305	59314.36719	2.6766
306	59314.36908	3.3344
307	59314.37139	0.9253
308	59314.3722	0.3085
309	59314.37244	0.1512
310	59314.37251	0.6264
311	59314.37324	0.2088
312	59314.37466	0.0787
313	59314.37498	7.999
314	59314.37533	7.1773
315	59314.37559	3.924
316	59314.37815	0.2414
317	59314.3784	0.1355
318	59314.37864	0.3782
319	59314.38073	3.5181
320	59314.38083	0.1595
321	59314.38423	1.0365
322	59314.3854	0.3258
323	59314.38566	0.3522
324	59314.38574	1.4616
325	59314.38632	0.1797
326	59314.38814	3.3019
327	59314.39029	1.735
328	59314.39064	0.251
329	59314.39084	0.5661
330	59314.39107	0.412
331	59314.39289	0.2138
332	59314.39341	0.7394
333	59314.39391	1.3363
334	59314.39562	0.2309
335	59314.39562	3.0349
336	59314.39653	7.0517
337	59314.39725	0.4846
338	59314.3976	6.1166
339	59314.3976	0.0837
340	59314.39788	4.7029
341	59314.39838	0.2
342	59314.39838	1.9688
343	59314.39854	0.4469
344	59314.39864	1.0635
345	59314.40191	3.4419
346	59314.40242	0.1853
347	59314.40276	0.393
348	59314.40302	1.2749
349	59314.40343	0.0787
350	59314.40376	0.0602
351	59315.319	0.1523
352	59315.31924	0.3874
353	59315.32006	0.1426
354	59315.32006	0.5758
355	59315.32006	0.1243
356	59315.32067	3.8826
357	59315.3217	1.8373
358	59315.32257	0.2394
359	59315.32437	5.2142
360	59315.32491	1.1234
361	59315.32577	1.1613
362	59315.3262	0.3488
363	59315.32744	0.256
364	59315.32772	0.4696
365	59315.32808	0.2808
366	59315.3281	13.9771
367	59315.3281	1.3213
368	59315.32812	0.1008
369	59315.32818	0.3762
370	59315.32839	0.1714
371	59315.32937	0.0597
372	59315.32974	0.1267
373	59315.32974	0.0795
374	59315.33074	0.2691
375	59315.33225	0.9333
376	59315.3328	3.4749
377	59315.3334	0.1102
378	59315.33444	0.4862
379	59315.33578	0.3464
380	59315.33671	0.3053
381	59315.33711	0.9522
382	59315.33975	9.9211
383	59315.34001	12.9952
384	59315.34001	2.2048
385	59315.34005	0.3374
386	59315.34083	0.0816
387	59315.34107	0.1782
388	59315.34192	0.5134
389	59315.34278	0.2469
390	59315.34386	0.2694
391	59315.34386	0.408
392	59315.34528	0.2214
393	59315.34528	0.8846
394	59315.3481	0.3368
395	59315.35059	0.3694
396	59315.3523	0.7995
397	59315.35261	0.5846
398	59315.35261	1.8234
399	59315.35285	0.0947
400	59315.35285	0.1014
401	59315.35315	0.4131
402	59315.35354	2.7712
403	59315.35548	0.1632
404	59315.35548	0.3579
405	59315.35586	0.2347
406	59315.356	0.2027
407	59315.35743	0.9043
408	59315.35907	11.7562
409	59315.35916	0.0704
410	59315.35932	0.4989
411	59315.36223	2.573
412	59315.36366	1.2427
413	59315.36484	0.0578
414	59315.3652	0.7392
415	59315.3652	0.488
416	59315.36584	0.4304
417	59315.36584	1.7011
418	59315.36653	0.4443
419	59315.3676	1.1328
420	59315.37261	2.3051
421	59315.37549	1.7243
422	59315.37566	1.7448
423	59315.37603	0.159
424	59315.37619	9.695
425	59315.37703	0.0826
426	59315.37904	1.1421
427	59315.37984	0.1395
428	59315.38075	2.5309
429	59315.38131	0.2987
430	59315.38147	0.1874
431	59315.3835	0.3048
432	59315.38388	0.4378
433	59315.3839	0.1112
434	59315.38416	0.5459
435	59315.38467	0.175
436	59315.38473	3.0648
437	59315.38613	0.2635
438	59315.38663	0.3128
439	59315.38755	0.2738
440	59315.38818	1.2738
441	59315.38887	0.1534
442	59315.38976	0.1435
443	59315.39003	0.5146
444	59315.3902	0.2344
445	59315.39168	3.1002
446	59315.39389	0.0954
447	59315.39393	0.0923
448	59315.39483	3.2256
449	59315.39596	0.1256
450	59315.3961	8.8442
451	59315.39709	0.1832
452	59315.39845	1.4397
453	59315.39847	0.8002
454	59315.39848	4.7205
455	59315.39973	0.1362
456	59315.40025	0.261
457	59315.4008	3.9222
458	59315.40086	3.1902
459	59316.31862	0.2149
460	59316.31923	9.0507
461	59316.32002	0.5405
462	59316.32018	0.1046
463	59316.32371	0.1181
464	59316.32539	0.7368
465	59316.32539	0.4682
466	59316.32759	10.7064
467	59316.32896	0.4157
468	59316.3293	1.1114
469	59316.33024	0.0954
470	59316.33024	0.5462
471	59316.33158	0.0656
472	59316.33258	0.4238
473	59316.33564	0.2531
474	59316.33705	0.0491
475	59316.33769	0.0886
476	59316.33851	4.4803
477	59316.33853	0.5747
478	59316.3386	4.691
479	59316.33894	3.7541
480	59316.33894	0.4787
481	59316.33994	0.18
482	59316.34034	3.1066
483	59316.34281	6.0821
484	59316.34426	0.0704
485	59316.34542	2.5069
486	59316.34563	0.7024
487	59316.34563	9.7379
488	59316.34563	9.2869
489	59316.34626	0.2402
490	59316.34626	0.2014
491	59316.34703	2.4838
492	59316.34803	0.6424
493	59316.34823	3.6813
494	59316.34857	1.2363
495	59316.34878	0.1166
496	59316.35062	3.701
497	59316.35081	0.4565
498	59316.35113	0.797
499	59316.35846	0.3298
500	59316.36191	0.5754
501	59316.36284	0.5536
502	59316.36284	0.371
503	59316.36375	0.2437
504	59316.36531	0.6539
505	59316.37261	5.9752
506	59316.37261	0.2085
507	59316.37381	3.2648
508	59316.37544	0.1424
509	59316.38038	0.0344
510	59316.38099	0.1024
511	59316.38099	0.2114
512	59316.38301	3.2738
513	59316.38337	0.467
514	59316.38357	0.3398
515	59316.38741	0.0974
516	59316.38826	5.9627
517	59316.39081	0.1938
518	59316.39155	4.7592
519	59316.39236	0.1438
520	59316.39236	2.2315
521	59316.39548	0.7347
522	59316.39557	3.4874
523	59316.3958	0.3368
524	59316.39622	3.2035
525	59316.39628	1.2755
526	59316.39732	0.1302
527	59316.39753	5.7123
528	59316.39815	0.0198
529	59316.39829	0.2474
530	59316.39829	2.0326
531	59316.39867	1.5038
532	59318.31158	1.435
533	59318.31238	0.9875
534	59318.31888	0.2394
535	59318.31888	0.2547
536	59318.32303	0.0699
537	59318.32343	5.2362
538	59318.32352	5.223
539	59318.34976	0.2624
540	59318.34977	0.1091
541	59318.35039	0.0541
542	59318.3505	0.1971
543	59318.35204	0.2272
544	59318.35289	0.1509
545	59318.35344	3.4666
546	59318.35357	1.2984
547	59318.35391	0.408
548	59318.35398	0.5138
549	59318.3541	0.647
550	59318.3542	1.632
551	59318.35613	0.0923
552	59318.35699	2.8688
553	59318.35881	0.0722
554	59318.35947	0.7213
555	59318.35985	0.517
556	59318.36024	0.2798
557	59318.36492	2.4814
558	59318.36782	1.9781
559	59318.36916	3.8712
560	59318.36951	10.2622
561	59318.37292	0.3051
562	59318.37319	0.0984
563	59318.37329	0.8526
564	59318.37336	3.2507
565	59318.37459	3.924
566	59318.37541	0.8386
567	59318.37703	9.0461
568	59318.37857	1.3235
569	59318.37913	0.481
570	59318.37927	0.112
571	59318.38037	60.1485
572	59318.3809	0.0819
573	59318.38153	0.9299
574	59318.38323	3.2182
575	59318.38347	0.0541
576	59318.38409	2.1968
577	59318.3841	10.3814
578	59318.38543	0.1144
579	59318.38739	1.3042
580	59318.3885	2.7568
581	59318.38943	0.3586
582	59318.38944	0.2922
583	59318.39098	1.0979
584	59318.39126	0.0702
585	59318.39126	1.089
586	59318.39221	0.8566
587	59319.31186	4.1278
588	59319.31411	2.0278
589	59319.31536	0.2498
590	59319.31677	0.2254
591	59319.31717	5.9419
592	59319.31847	0.3376
593	59319.31847	7.6194
594	59319.32198	0.1661
595	59319.32204	0.0965
596	59319.32207	0.4522
597	59319.325	0.4963
598	59319.32769	0.0538
599	59319.32827	0.1635
600	59319.32865	0.4024
601	59319.33095	5.0701
602	59319.33095	8.8773
603	59319.33165	2.241
604	59319.33165	5.3518
605	59319.33324	0.2962
606	59319.33497	0.6298
607	59319.33687	4.5925
608	59319.33818	13.2203
609	59319.33838	0.1258
610	59319.33849	0.8886
611	59319.33878	8.5075
612	59319.33891	1.9958
613	59319.33975	0.5166
614	59319.341	1.2891
615	59319.34138	10.599
616	59319.34229	1.6197
617	59319.34244	1.2787
618	59319.34616	3.5597
619	59319.34947	0.3043
620	59319.35343	1.5214
621	59319.35379	1.3027
622	59319.35474	0.1157
623	59319.35612	0.052
624	59319.3565	1.7966
625	59319.35841	0.6198
626	59319.36014	0.9422
627	59319.36032	0.8136
628	59319.36056	0.0307
629	59319.36116	0.9384
630	59319.36143	0.4413
631	59319.3628	0.499
632	59319.36542	7.7462
633	59319.36795	1.3107
634	59319.36796	3.6216
635	59319.37151	4.3389
636	59319.37472	8.1781
637	59319.37472	0.1459
638	59319.37581	2.7122
639	59319.37581	1.3114
640	59319.37816	1.0126
641	59319.3785	2.2773
642	59319.37906	0.2574
643	59319.37906	0.6248
644	59319.3799	3.6096
645	59319.38322	1.7528
646	59319.38534	0.1448
647	59319.38582	2.743
648	59320.22858	0.6106
649	59320.22858	0.1682
650	59320.23163	0.8272
651	59320.23454	0.1136
652	59320.23868	0.0477
653	59320.24024	6.2523
654	59320.24137	0.776
655	59320.24916	0.7736
656	59320.25028	0.1536
657	59320.25081	0.108
658	59320.2526	0.2272
659	59320.25394	0.6795
660	59320.25498	0.8709
661	59320.26033	0.3006
662	59320.26033	1.2906
663	59320.26122	2.7824
664	59320.26284	0.4442
665	59320.26849	0.8254
666	59320.26901	7.34
667	59320.27065	0.3112
668	59320.27096	0.7909
669	59320.27135	0.2814
670	59320.27183	1.0878
671	59320.27187	2.7931
672	59320.2787	0.0699
673	59320.2787	0.1219
674	59320.27885	0.588
675	59320.27926	0.1045
676	59320.28304	3.2843
677	59320.28657	4.0522
678	59320.28744	1.4258
679	59320.28912	2.9946
680	59320.29175	6.716
681	59320.29189	0.7645
682	59320.29198	1.5757
683	59320.29304	0.4254
684	59320.29355	0.0909
685	59320.29508	0.0712
686	59320.29624	0.1586
687	59320.29743	0.1322
688	59320.29753	0.3702
689	59320.29768	0.0843
690	59320.29782	0.0685
691	59320.29945	0.1688
692	59320.29977	7.1237
693	59320.29999	2.1874
694	59320.30019	0.0382
695	59321.22548	0.4062
696	59321.22774	7.4235
697	59321.22784	0.3757
698	59321.22804	1.8114
699	59321.23138	0.1184
700	59321.23165	0.0646
701	59321.23542	0.6923
702	59321.23542	0.6083
703	59321.23754	0.8584
704	59321.23763	1.435
705	59321.23774	4.7782
706	59321.23774	4.7635
707	59321.23797	0.3221
708	59321.23861	0.0504
709	59321.24136	0.0741
710	59321.24334	0.0461
711	59321.24428	4.3488
712	59321.2456	2.0955
713	59321.25421	0.3328
714	59321.25491	8.3043
715	59321.25736	0.199
716	59321.25748	0.2227
717	59321.26018	0.1022
718	59321.2663	0.1339
719	59321.26699	1.1467
720	59321.27795	0.1248
721	59321.27806	2.455
722	59321.28	0.6075
723	59321.2816	0.2013
724	59321.28183	0.0648
725	59321.28236	0.092
726	59321.28278	5.2805
727	59322.30047	0.152
728	59322.30061	1.0955
729	59322.30341	0.3499
730	59322.30422	0.1334
731	59322.30464	4.2597
732	59322.30501	0.199
733	59322.30584	0.2963
734	59322.30757	0.0792
735	59322.30872	0.4566
736	59322.30928	0.0658
737	59322.3094	0.2955
738	59322.30961	3.5056
739	59322.31014	2.7246
740	59322.31353	0.0787
741	59322.31557	12.2358
742	59322.31557	1.049
743	59322.31788	0.1445
744	59322.31913	1.9618
745	59322.31913	0.6163
746	59322.32049	0.1621
747	59322.32255	1.661
748	59322.32305	5.1099
749	59322.32407	0.5298
750	59322.3257	0.9402
751	59322.3262	0.7712
752	59322.33014	0.083
753	59322.33462	1.128
754	59322.335	0.1411
755	59322.33652	0.0803
756	59322.33945	1.6448
757	59322.34227	0.245
758	59322.34416	1.4402
759	59322.34524	0.341
760	59322.3469	2.76
761	59322.34723	0.3666
762	59322.34723	3.4608
763	59322.34809	4.4341
764	59322.35028	3.9424
765	59322.3509	4.416
766	59322.35369	5
767	59322.35375	1.2611
768	59322.35994	0.1746
769	59322.36002	0.0922
770	59322.36002	0.2494
771	59322.36338	0.2426
772	59322.36442	0.3533
773	59322.3646	0.1506
774	59322.36746	5.6381
775	59322.36778	0.1384
776	59322.36778	2.7379
777	59322.36852	3.1771
778	59322.37092	2.3518
779	59322.37148	1.2645
780	59322.37516	1.5344
781	59322.37516	0.4826
782	59322.37735	1.0898
783	59323.29767	0.0805
784	59323.29916	0.8352
785	59323.29952	7.5661
786	59323.30197	3.7523
787	59323.30214	0.3035
788	59323.30219	0.3698
789	59323.30229	0.2102
790	59323.30229	2.1382
791	59323.30282	0.6581
792	59323.30339	0.4787
793	59323.30358	6.2026
794	59323.30394	0.1538
795	59323.30399	26.1229
796	59323.30556	0.3813
797	59323.3057	1.593
798	59323.30826	0.3472
799	59323.30833	0.987
800	59323.30916	0.0576
801	59323.30922	0.3728
802	59323.31007	0.6048
803	59323.31164	0.4456
804	59323.31282	2.4179
805	59323.31434	0.0283
806	59323.3148	0.1832
807	59323.31537	1.5256
808	59323.31702	0.8413
809	59323.32566	0.2882
810	59323.32639	1.8966
811	59323.3299	5.5973
812	59323.33137	1.1059
813	59323.33144	0.0514
814	59323.33258	0.2376
815	59323.33491	1.5898
816	59323.33491	0.1632
817	59323.33591	9.0235
818	59323.33884	3.709
819	59323.33892	1.0925
820	59323.3415	0.5102
821	59323.34153	0.2238
822	59323.34214	0.1774
823	59323.3454	0.5819
824	59323.34622	0.8002
825	59323.34708	0.6339
826	59323.3506	3.9114
827	59323.35156	2.7299
828	59323.35227	0.2283
829	59323.35422	0.3286
830	59323.35583	1.7778
831	59323.3584	0.3438
832	59323.35845	1.9762
833	59323.35845	1.4835
834	59323.35845	8.5869
835	59323.36061	0.3283
836	59323.36122	0.885
837	59323.36367	0.1178
838	59323.36436	1.2448
839	59323.36515	0.2787
840	59323.36655	1.2123
841	59323.36673	0.7896
842	59323.36941	2.4934
843	59323.37201	0.3264
844	59323.37632	0.4755
845	59323.37651	0.1232
846	59323.37651	0.1037
847	59324.33134	0.1504
848	59324.33381	0.048
849	59324.33426	6.7626
850	59324.33509	5.7117
851	59324.33649	0.5112
852	59324.33715	0.0618
853	59324.33715	0.7374
854	59324.34788	0.1051
855	59324.34827	0.0538
856	59324.34879	2.0883
857	59324.34879	0.6195
858	59324.34889	0.4752
859	59324.34898	1.444
860	59324.35219	3.3869
861	59324.35553	0.3934
862	59324.35755	0.3648
863	59324.35758	0.871
864	59324.35943	3.5131
865	59324.36112	0.1154
866	59324.36117	0.0437
867	59324.37121	2.8795
868	59324.37333	2.8054
